Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,1214.95,1222.35,1206.10,1210.50,1215.038830083012273106,201416,5173,244728261.00,130960,65.02,16.25,-4.45
31-July-2024,1219.90,1224.00,1211.40,1214.80,1216.509122628074898351,358833,9186,436523618.00,186267,51.91,12.60,-5.10
30-July-2024,1212.05,1230.50,1204.65,1210.40,1218.862574761476636826,441571,12719,538214366.00,236017,53.45,25.85,-1.65
29-July-2024,1220.00,1242.45,1204.00,1214.15,1218.073317560847734060,3959638,54697,4823129395.00,679084,17.15,38.45,-5.85
26-July-2024,1197.95,1218.00,1186.00,1207.70,1202.640988127949901205,779899,17854,937938504.00,322168,41.31,32.00,9.75
25-July-2024,1203.10,1218.60,1190.55,1198.00,1201.083186918085856978,144566,7447,173635792.00,54469,37.68,28.05,-5.10
24-July-2024,1227.75,1233.55,1202.25,1222.65,1216.258913372046774321,251420,9099,305791816.00,122173,48.59,31.30,-5.10
23-July-2024,1242.20,1248.45,1212.65,1227.80,1231.707703554877316217,391209,19304,481855139.00,192981,49.33,35.80,-14.40
22-July-2024,1243.85,1245.00,1232.80,1241.55,1240.924948492948303899,1142562,23952,1417833691.00,286723,25.09,12.20,-2.30
19-July-2024,1245.95,1250.85,1240.15,1248.25,1246.870462896816060436,467534,14783,582954335.00,75046,16.05,10.70,2.30
18-July-2024,1229.25,1256.00,1229.25,1249.75,1244.956750857752539407,369279,13094,459736384.00,179514,48.61,26.75,20.50
16-July-2024,1228.15,1244.75,1228.15,1240.20,1240.984684264595522072,1372510,5769,1703263889.00,1295169,94.36,16.60,12.05
15-July-2024,1232.90,1238.50,1224.50,1230.25,1232.268708286435716526,1909301,35097,2352771877.00,759634,39.79,14.00,-2.65
12-July-2024,1237.00,1253.30,1230.00,1232.95,1239.627391875149847010,946799,27411,1173677975.00,196904,20.80,23.30,-4.05
11-July-2024,1245.05,1257.65,1225.05,1239.90,1237.400839404871377708,212055,8976,262397035.00,77229,36.42,32.60,-5.15
10-July-2024,1251.00,1251.05,1236.50,1243.50,1243.714750873591867653,163692,7200,203586155.00,96020,58.66,14.55,-7.50
9-July-2024,1236.35,1250.00,1229.65,1248.20,1242.281545741324921135,67204,2852,83486289.00,28553,42.49,20.35,11.85
8-July-2024,1228.10,1239.30,1216.80,1234.55,1233.839536110983759592,1025159,22773,1264881705.00,126601,12.35,22.50,6.45
5-July-2024,1227.00,1242.30,1221.00,1233.45,1230.519050296613498860,814528,28936,1002292221.00,135692,16.66,21.30,6.45
4-July-2024,1230.00,1234.30,1214.90,1233.10,1225.770084637854842333,200265,13840,245478846.00,95294,47.58,19.40,3.10
3-July-2024,1195.55,1215.50,1181.00,1201.25,1202.758806273946360153,167040,6774,200908831.00,49105,29.40,34.50,5.70
2-July-2024,1218.00,1218.00,1185.55,1190.40,1195.811685990821622085,209841,11430,250930320.00,91070,43.40,32.45,-27.60
1-July-2024,1198.30,1215.60,1191.80,1212.15,1209.358770736336563063,1525824,45353,1845268637.00,180314,11.82,23.80,13.85
28-June-2024,1225.00,1227.00,1196.20,1199.80,1204.451300109282034380,691788,24396,833224956.00,110737,16.01,30.80,-25.20
27-June-2024,1222.30,1234.90,1211.00,1219.35,1223.941421265055095242,374624,12140,458517831.00,163627,43.68,23.90,-2.95
26-June-2024,1202.65,1222.50,1193.90,1218.25,1210.985634839790608862,508522,15655,615812837.00,214221,42.13,28.60,15.60
25-June-2024,1164.40,1207.00,1164.40,1199.05,1176.793017909065310378,969509,9931,1140911422.00,149328,15.40,42.60,34.65
24-June-2024,1154.10,1175.70,1154.05,1170.00,1168.249813868694860350,2143648,50114,2504316377.00,541765,25.27,21.65,15.90
21-June-2024,1157.25,1169.30,1150.20,1158.05,1157.564637448080645631,1542055,43563,1785028337.00,417602,27.08,19.10,0.80
20-June-2024,1150.05,1159.75,1135.45,1156.80,1147.197850845884264114,340413,10555,390521062.00,185493,54.49,24.30,6.75
19-June-2024,1129.95,1165.30,1126.10,1144.75,1145.298959993342367508,805091,26627,922069885.00,448503,55.71,39.20,14.80
18-June-2024,1112.25,1129.95,1101.00,1123.05,1115.375408315706277668,437774,18625,488282354.00,313088,71.52,28.95,10.80
14-June-2024,1112.35,1112.90,1099.55,1105.85,1106.323755449583540079,1056044,31128,1168326564.00,238797,22.61,13.35,-6.50
13-June-2024,1123.00,1123.00,1105.10,1107.35,1113.981994595122586526,276417,9654,307923561.00,116796,42.25,17.90,-15.65
12-June-2024,1117.70,1133.35,1111.95,1119.65,1123.065548809214220835,265329,8996,297981859.00,125116,47.16,21.40,1.95
11-June-2024,1121.95,1129.00,1111.05,1118.55,1120.417346019400642147,322979,11275,361871274.00,183234,56.73,17.95,-3.40
10-June-2024,1119.95,1133.00,1115.75,1124.05,1125.404920743167342892,1105646,31367,1244299449.00,178635,16.16,17.25,4.10
7-June-2024,1102.15,1128.60,1102.15,1121.90,1122.418308003540898788,1207603,30660,1355435716.00,232291,19.24,26.45,19.75
6-June-2024,1116.75,1117.90,1097.00,1110.70,1109.308504182740236660,276852,10063,307114278.00,134988,48.76,20.90,-6.05
5-June-2024,1089.65,1123.20,1051.50,1108.70,1087.745048092411063555,434580,21722,472712243.00,151771,34.92,71.70,19.05
4-June-2024,1157.95,1158.55,1054.10,1073.20,1096.717453503749243820,1137296,54403,1247292373.00,380696,33.47,104.45,-84.75
3-June-2024,1161.25,1171.55,1136.00,1160.30,1152.807751526229939166,2601836,40142,2999416709.00,307071,11.80,35.55,-0.95
31-May-2024,1119.25,1130.40,1111.50,1119.65,1120.534596814590620294,1375459,41339,1541249396.00,541049,39.34,18.90,0.40
30-May-2024,1100.75,1120.60,1097.65,1114.85,1112.941143461021725595,244136,10303,271708999.00,134150,54.95,22.95,14.10
29-May-2024,1111.05,1123.35,1098.70,1102.25,1108.004670761775208297,188192,7788,208517615.00,129991,69.07,24.65,-8.80
28-May-2024,1131.75,1134.95,1125.00,1126.90,1129.235759106837258577,122710,4728,138568520.00,71410,58.19,9.95,-4.85
27-May-2024,1131.20,1147.90,1122.00,1130.10,1134.902732958488565051,946703,17481,1074415822.00,335211,35.41,25.90,-1.10
24-May-2024,1130.00,1134.80,1124.10,1131.25,1128.812999766191255552,470470,13357,531072652.00,84882,18.04,10.70,1.25
23-May-2024,1115.00,1137.00,1111.15,1134.80,1127.966287063039470737,290215,10352,327352736.00,131012,45.14,25.85,19.80
22-May-2024,1122.15,1124.80,1098.45,1112.65,1111.427097884829756310,141738,3845,157531454.00,74462,52.53,26.35,-9.50
21-May-2024,1120.25,1133.20,1119.00,1120.65,1124.206049511129602662,120175,2737,135101462.00,79094,65.82,14.20,0.40
18-May-2024,1130.00,1132.40,1125.40,1130.15,1129.264412207987942727,10616,581,11988271.00,7011,66.04,7.00,0.15
17-May-2024,1131.65,1141.90,1121.00,1130.45,1129.591785209311941634,570751,12444,644715641.00,90311,15.82,20.90,-1.20
16-May-2024,1132.10,1136.50,1112.80,1131.20,1122.338370797763940720,194807,8615,218639371.00,79415,40.77,23.70,-0.90
15-May-2024,1120.65,1127.40,1113.80,1124.60,1118.307446692256205007,292828,16440,327471733.00,220879,75.43,13.60,3.95
14-May-2024,1124.10,1127.85,1118.75,1120.80,1121.625054146185283537,212388,4155,238219702.00,166970,78.62,9.10,-3.30
13-May-2024,1111.40,1130.50,1107.00,1127.55,1125.378946618484640989,757959,19510,852991101.00,61205,8.07,23.50,16.15
10-May-2024,1117.40,1128.85,1112.45,1116.70,1117.428502274965992776,532975,11754,595561456.00,154369,28.96,16.40,-0.70
9-May-2024,1120.00,1128.75,1110.20,1115.55,1116.269010086368303436,115899,8750,129374462.00,54334,46.88,18.55,-4.45
8-May-2024,1125.40,1132.15,1116.40,1123.00,1122.371884467784286002,74265,6388,83352948.00,25272,34.03,15.75,-2.40
7-May-2024,1146.80,1152.90,1126.65,1131.75,1132.544813203101246579,210496,10576,238396153.00,134050,63.68,26.25,-15.05
6-May-2024,1142.15,1158.75,1140.00,1148.80,1145.998138300493824726,811624,9091,930119593.00,502790,61.95,18.75,6.65
3-May-2024,1144.85,1157.55,1135.50,1142.00,1142.461763630497903000,464950,16546,531187597.00,120849,25.99,22.05,-2.85
2-May-2024,1144.00,1155.50,1133.40,1139.90,1142.537512042142373993,243935,10500,278704888.00,113318,46.45,22.10,-4.10
30-April-2024,1160.00,1169.30,1147.00,1152.05,1159.969600722229061512,243690,7686,282672992.00,88459,36.30,22.30,-7.95
29-April-2024,1109.35,1163.25,1109.00,1158.80,1146.366208116291952018,805146,16986,922992167.00,239955,29.80,54.25,49.45
26-April-2024,1112.15,1116.45,1102.65,1107.15,1107.632697761098571094,508151,12239,562844663.00,74146,14.59,13.80,-5.00
25-April-2024,1091.00,1125.00,1090.90,1113.05,1108.796546416234475944,524267,16136,581305439.00,258440,49.30,34.10,22.05
24-April-2024,1091.60,1098.20,1088.80,1096.85,1095.235309466303598787,149467,5627,163701536.00,79830,53.41,9.40,5.25
23-April-2024,1098.45,1098.45,1082.80,1090.25,1089.756982951067583624,444368,13855,484253131.00,362998,81.69,15.65,-8.20
22-April-2024,1078.50,1088.75,1071.15,1087.05,1083.717054400441554806,764571,15202,828578632.00,415032,54.28,17.60,8.55
19-April-2024,1053.40,1071.00,1048.35,1066.40,1062.472506984517885865,890899,21854,946555694.00,305142,34.25,22.65,13.00
18-April-2024,1073.20,1077.55,1050.60,1055.45,1062.298684608220645728,406951,10754,432303512.00,264626,65.03,26.95,-17.75
16-April-2024,1070.00,1073.90,1062.80,1067.55,1067.233308360045962566,455153,15848,485754442.00,353214,77.60,11.10,-2.45
15-April-2024,1096.05,1105.95,1076.65,1078.80,1081.862390655882986069,715402,15214,773966518.00,423668,59.22,29.30,-17.25
12-April-2024,1102.75,1111.75,1096.00,1104.15,1102.426981576802863538,775544,21271,854980631.00,137464,17.72,15.75,1.40
10-April-2024,1108.80,1116.45,1105.10,1109.45,1110.769087055773845318,171281,7257,190253640.00,77738,45.39,11.35,0.65
9-April-2024,1093.75,1115.05,1089.00,1107.20,1107.629975311615583789,166070,4609,183944110.00,70525,42.47,26.05,13.45
8-April-2024,1081.95,1091.25,1078.35,1086.85,1086.628095969874430646,288924,7064,313952936.00,123711,42.82,12.90,4.90
5-April-2024,1072.00,1086.40,1068.20,1082.35,1077.166388544297022096,317606,10066,342114508.00,47285,14.89,18.20,10.35
4-April-2024,1085.55,1085.55,1063.25,1076.85,1075.779032204898308995,303370,6460,326359085.00,223040,73.52,22.30,-8.70
3-April-2024,1076.85,1083.10,1073.50,1077.10,1078.556023097443157611,152571,7182,164556371.00,64734,42.43,9.60,0.25
2-April-2024,1095.00,1095.00,1079.50,1081.30,1083.482600577151587166,129602,3700,140421512.00,64021,49.40,15.50,-13.70
1-April-2024,1097.00,1102.55,1094.85,1099.25,1098.594933482687878368,317812,9356,349146653.00,218893,68.87,7.70,2.25
28-March-2024,1084.00,1105.10,1084.00,1095.85,1097.418520273661448978,1356859,16700,1489042196.00,906790,66.83,21.10,11.85
27-March-2024,1088.95,1092.00,1079.30,1084.00,1086.913462594039585418,619420,17977,673255937.00,501004,80.88,12.70,-4.95
26-March-2024,1084.10,1088.40,1076.85,1084.05,1083.882171047471460793,420737,10276,456029333.00,324070,77.02,11.55,-0.05
22-March-2024,1077.35,1093.50,1077.35,1090.10,1090.251709109806245115,1016026,21409,1107724083.00,332751,32.75,16.15,12.75
21-March-2024,1090.15,1097.40,1079.15,1082.20,1087.956751341507436595,246551,7094,268236825.00,146982,59.62,18.25,-7.95
20-March-2024,1079.00,1089.60,1067.70,1084.85,1080.894434815600451837,231942,6836,250704817.00,118156,50.94,21.90,5.85
19-March-2024,1079.95,1088.60,1076.65,1084.05,1083.903234269010231233,293513,7845,318139690.00,168251,57.32,11.95,4.10
18-March-2024,1074.35,1084.45,1060.20,1081.20,1076.955486525940383008,439103,10427,472894385.00,251606,57.30,24.25,6.85
15-March-2024,1074.85,1085.55,1070.05,1078.60,1079.268060983232328722,919925,17792,992845671.00,464897,50.54,15.50,3.75
14-March-2024,1072.05,1097.20,1072.05,1083.50,1089.307265746634194932,254991,7325,277763549.00,184789,72.47,25.15,11.45
13-March-2024,1075.45,1089.50,1073.15,1083.35,1084.121504576005173966,358719,14359,388894982.00,202635,56.49,16.35,7.90
12-March-2024,1077.00,1094.35,1056.00,1076.95,1079.519224826374770261,122966,5491,132744161.00,30173,24.54,38.35,-0.05
11-March-2024,1089.35,1089.35,1076.50,1077.95,1079.611859904569826356,121974,3589,131684577.00,62151,50.95,12.85,-11.40
7-March-2024,1096.65,1096.65,1082.95,1087.85,1088.077382156086156638,405494,9990,441208850.00,48011,11.84,13.70,-8.80
6-March-2024,1080.35,1113.35,1080.35,1096.80,1092.905420860018298261,996816,11669,1089425610.00,812748,81.53,33.00,16.45
5-March-2024,1085.20,1099.35,1077.00,1088.10,1090.965866308856841257,8110081,5033,8847821544.00,8042645,99.17,22.35,2.90
4-March-2024,1080.35,1095.35,1080.35,1091.80,1091.210670607153722456,575225,13477,627691658.00,242081,42.08,15.00,11.45
2-March-2024,1085.75,1089.30,1076.90,1083.45,1083.499957933703516742,47544,1070,51513922.00,11698,24.60,12.40,-2.30
1-March-2024,1055.00,1089.50,1055.00,1086.90,1080.859480731784198166,732839,25092,792095981.00,288681,39.39,34.50,31.90
29-February-2024,1041.35,1060.50,1038.80,1053.45,1051.106442376154449014,195223,5390,205200153.00,72000,36.88,21.70,12.10
28-February-2024,1059.85,1064.10,1042.25,1046.15,1052.627453115446146629,119389,7372,125672139.00,57622,48.26,21.85,-13.70
27-February-2024,1053.75,1066.00,1046.45,1060.35,1056.613741584844892755,178844,6801,188969028.00,99079,55.40,19.55,6.60
26-February-2024,1055.00,1062.10,1051.20,1054.25,1055.200667434108931343,249313,6049,263075244.00,40502,16.25,10.90,-0.75
23-February-2024,1069.00,1069.75,1057.85,1061.20,1063.442863178024773396,665149,18490,707347957.00,153080,23.01,11.90,-7.80
22-February-2024,1055.00,1065.75,1041.00,1063.65,1054.968602995123214362,92684,3376,97778710.00,35309,38.10,24.75,8.65
21-February-2024,1056.45,1063.85,1045.00,1050.05,1057.309808573516230279,338041,10885,357414065.00,179496,53.10,18.85,-6.40
20-February-2024,1044.50,1052.25,1033.20,1048.80,1046.744348065537656615,145260,4245,152050084.00,74710,51.43,19.05,4.30
19-February-2024,1023.00,1045.95,1023.00,1043.55,1039.686837434870500251,210734,5315,219097366.00,75127,35.65,22.95,20.55
16-February-2024,1023.80,1026.20,1017.05,1022.80,1021.816384912910341175,709958,15876,725446717.00,163683,23.06,9.15,-1.00
15-February-2024,1023.00,1024.65,1006.75,1017.15,1015.078217086330135261,224823,6446,228212930.00,99894,44.43,17.90,-5.85
14-February-2024,1010.30,1035.40,1007.80,1021.75,1023.903814693634741225,322752,12005,330467004.00,174713,54.13,27.60,11.45
13-February-2024,1004.75,1027.05,1001.00,1020.10,1017.019464787030067959,182021,7065,185118900.00,63913,35.11,26.05,15.35
12-February-2024,1011.70,1011.70,985.15,995.65,997.629265735724352079,551341,17177,550033917.00,134245,24.35,26.55,-16.05
9-February-2024,989.95,1013.90,985.85,1010.75,1006.493835824128221789,1038825,26023,1045570959.00,303896,29.25,28.05,20.80
8-February-2024,1023.05,1028.30,985.45,989.60,999.149467349145263603,396789,20170,396451518.00,207135,52.20,42.85,-33.45
7-February-2024,1030.80,1031.75,1013.20,1023.75,1020.714541269736102989,347143,8479,354333908.00,270608,77.95,18.55,-7.05
6-February-2024,1023.85,1034.75,1016.80,1026.15,1028.325055708194437662,389081,8410,400101741.00,228860,58.82,17.95,2.30
5-February-2024,1021.65,1026.65,1012.30,1023.80,1021.242892175603182993,902421,22695,921591032.00,470504,52.14,14.35,2.15
2-February-2024,1032.15,1050.00,1022.00,1024.75,1038.105633330712473774,1208255,31033,1254296322.00,272988,22.59,28.00,-7.40
1-February-2024,1030.30,1033.00,1017.45,1025.60,1027.555311413965294333,337236,9942,346528643.00,246708,73.16,15.55,-4.70
31-January-2024,1016.90,1038.95,1003.30,1027.90,1026.732899774565926072,242643,5438,249129551.00,117851,48.57,35.65,11.00
30-January-2024,1016.95,1023.70,1008.00,1016.30,1015.789197178756893049,379549,14447,385541774.00,237522,62.58,15.70,-0.65
29-January-2024,1020.00,1032.10,1010.10,1017.35,1019.220580173808922440,534495,13494,544768304.00,161590,30.23,22.00,-2.65
25-January-2024,999.50,1014.95,988.15,1009.90,1000.155974670108775836,1362343,25916,1362555491.00,553183,40.61,26.80,10.40
24-January-2024,1030.00,1035.80,996.65,999.20,1002.338940391404518497,1826448,24668,1830719953.00,1412856,77.36,39.15,-30.80
23-January-2024,1067.40,1067.40,1021.20,1029.45,1036.821572084682988229,800822,12872,830309525.00,366828,45.81,46.20,-37.95
20-January-2024,1007.00,1014.95,995.15,1008.30,1006.409812981629485442,1062409,21397,1069218843.00,60898,5.73,19.80,1.30
19-January-2024,992.50,1010.75,988.00,999.10,1002.153462355889987244,1143831,34010,1146294197.00,321240,28.08,22.75,6.60
18-January-2024,976.05,994.35,970.05,986.60,983.282830851257454257,373612,11616,367366265.00,184824,49.47,24.30,10.55
17-January-2024,985.30,1008.00,977.10,980.35,987.943898666531802626,1423656,33745,1406492259.00,910151,63.93,30.90,-4.95
16-January-2024,1004.85,1016.00,1004.85,1009.15,1010.576522027486766313,81421,3286,82282151.00,32610,40.05,11.15,4.30
15-January-2024,1003.65,1011.65,999.30,1009.60,1007.953735572841375828,1045944,27165,1054263162.00,309324,29.57,12.35,5.95
12-January-2024,994.00,1008.95,992.00,1003.85,1003.915965103239493766,667913,19275,670528524.00,115004,17.22,16.95,9.85
11-January-2024,996.00,998.00,987.00,990.95,991.895157783860912592,163293,7396,161969536.00,78266,47.93,11.00,-5.05
10-January-2024,975.30,994.65,975.30,993.05,988.334337679673905270,209755,5050,207308069.00,86561,41.27,19.35,17.75
9-January-2024,987.00,994.95,975.60,979.30,990.280143731941012873,554087,14541,548701354.00,399207,72.05,19.35,-7.70
8-January-2024,992.45,997.95,980.15,982.00,986.890073459133236844,915475,25748,903473190.00,355806,38.87,17.80,-10.45
5-January-2024,988.30,998.45,984.10,994.10,991.266359830700557392,864740,18773,857187672.00,406265,46.98,14.35,5.80
4-January-2024,984.50,989.00,981.90,986.45,985.663771474915847671,606638,14588,597941099.00,428999,70.72,7.10,1.95
3-January-2024,983.75,987.90,975.35,984.25,985.654714138696358383,1613020,10232,1589880767.00,1497254,92.82,12.55,0.50
2-January-2024,998.00,998.00,980.55,982.10,988.575641280991267146,617553,23811,610497853.00,278939,45.17,17.45,-15.90
1-January-2024,994.65,1005.10,991.60,1001.25,1000.745497806287084819,1047767,25273,1048548108.00,430882,41.12,13.50,6.60
29-December-2023,1005.05,1008.70,993.25,996.45,997.128632044803869010,876710,28146,874192643.00,117419,13.39,15.45,-8.60
28-December-2023,1009.65,1011.90,999.05,1005.40,1005.031263429591371314,379293,8018,381201323.00,162131,42.75,12.85,-4.25
27-December-2023,996.20,1004.00,992.05,1001.75,1000.034233174537826658,255045,8266,255053731.00,122230,47.92,11.95,5.55
26-December-2023,995.00,997.50,990.00,995.10,993.913408705950397289,145234,5578,144350020.00,52945,36.45,7.50,0.10
22-December-2023,1005.45,1009.30,991.80,993.85,997.328569244024064121,1072468,23951,1069602976.00,128530,11.98,17.50,-11.60
21-December-2023,992.55,1010.60,989.25,1003.65,997.820933510022927578,190164,6265,189749620.00,75060,39.47,21.35,11.10
20-December-2023,1021.95,1021.95,1002.70,1006.25,1011.455429843775456635,276205,6481,279369047.00,143408,51.92,19.25,-15.70
19-December-2023,1029.00,1029.00,1012.70,1014.85,1017.039450472602585215,221645,4431,225421709.00,143777,64.87,16.30,-14.15
18-December-2023,1031.75,1031.75,1018.00,1020.60,1021.057038912062756627,1164626,36129,1189149575.00,170206,14.61,13.75,-11.15
15-December-2023,1041.00,1042.65,1026.00,1037.10,1031.964819272373579084,508915,17516,525182376.00,230286,45.25,16.65,-3.90
14-December-2023,1023.65,1039.95,1021.55,1034.35,1033.927805295770729597,460103,13173,475713285.00,295593,64.24,18.40,10.70
13-December-2023,1015.20,1020.50,1009.45,1014.15,1014.425735312713386105,118623,3795,120334224.00,58140,49.01,11.05,-1.05
12-December-2023,1019.50,1021.00,1008.25,1015.20,1012.844418649179072327,167128,6927,169274662.00,96258,57.60,12.75,-4.30
11-December-2023,1006.70,1020.45,1005.00,1017.05,1017.085995564402820668,1355849,30192,1379015030.00,292271,21.56,15.45,10.35
